Job Title,Job Type,Location,Experience Level,Salary Min (?),Salary Max (?),Min Education,Category,Openings,Notice Period,Year of Passing,Direct Link,Work Type,Interview Type,Company Name,Company Website,Company Description,Job Description,Requirements,Responsibilities,Skills
Business Development Executive (Solar Industry),Full-time,"Amravati, Maharashtra",1 - 4 Years,5lpa,6lpa,B.E. B.Tech (Mandatory specialization in Engineering),FMCG,,,,https: www.naukri.com job-listings-business-development-executive-solar-industry-aaron-consultant-varanasi-indore-nashik-chennai-aurangabad-amravati-1-to-4-years-131225014824?src=directSearch&sid=17666585875395025 1&xp=14&px=4&nignbevent src=jobsearchDeskGNB,On-Site,On-Site,AARON CONSULTANTS,https: aaronconsultant.com ,"The role is for a prominent firm in the Solar Energy & Engineering sector. These companies typically specialize in EPC (Engineering, Procurement, and Construction) services for Rooftop Solar, Solar Pumps, and Solar Power Plants. They target residential (B2C), commercial, and industrial (C&I) clients to transition them toward renewable energy.","As a Business Development Executive with an engineering background, you act as a Technical Sales Consultant. You are not just selling a product; you are selling a financial and technical solution. You will be responsible for identifying sites (homes, factories, or hospitals), conducting basic technical feasibility assessments, and explaining the ROI (Return on Investment) of solar installations to potential customers in the Amravati region.","Technical Edge: A B.E. B.Tech degree is essential to understand the load calculations and system sizing required for solar projects.
Sales Aptitude: 1�4 years of experience in field sales or business development (prior Solar or Power sector experience is highly preferred).
Communication: Ability to simplify complex technical jargon into easy-to-understand financial benefits for customers.
Local Reach: Knowledge of the local geography and language (Marathi Hindi) to build trust with local residents and business owners.","Lead Generation: Identify potential B2C and small-scale B2B customers interested in solar rooftop solutions.
Technical Consulting: Use your engineering knowledge to explain solar PV (Photovoltaic) technology, inverter types, and net-metering processes to clients.
Site Surveys: Visit customer locations to assess shadow-free areas, roof strength, and electrical infrastructure.
Proposal Engineering: Prepare and present customized technical-commercial proposals, highlighting payback periods and government subsidies (KUSUM or Rooftop Phase-II).
Market Expansion: Build a network of local contractors, architects, and electrical consultants to generate referral leads.
Closure & Coordination: Close sales deals and coordinate with the project team to ensure smooth installation and commissioning.","Solar Sales, Business Development, Site Assessment, Technical Proposal Preparation, ROI Calculation, CRM Management, B2C Sales, Engineering Sales."
Production Chemist R&D Chemist,Full-time,"Amravati, Maharashtra",2 - 7 Years,2.5lpa,7.5lpa,"M.Sc. M.Tech in Analytical, Organic, or Applied Chemistry",research and development,,,,https: www.naukri.com job-listings-production-chemist-plasti-surge-amravati-2-to-7-years-081225006480?src=cluster&sid=17666585875395025 6&xp=1&px=1&nignbevent src=jobsearchDeskGNB,,,Plasti Surge Industries Pvt. Ltd. (PSI),https: psidispo.com ,"Plasti Surge Industries Pvt. Ltd. (PSI), established in 1989, is a pioneer in the healthcare consumables industry in India. Based in Amravati, the company is a trusted manufacturer of medical disposables, diagnostic kits, and healthcare solutions. They are currently expanding their innovation wing to move beyond basic disposables into high-tech rapid testing kits for water, soil, food, and medical diagnostics.","This is an Innovation and Applied Research role. You will not just be managing a production line; you will be designing the ""chemistry"" behind rapid testing kits. The goal is to create easy-to-use tools (like strips, tablets, or vials) that can detect impurities in water or soil without needing a full laboratory. You will report directly to the Head of Innovation.",,"New Product Development: Design chemistry-based kits for environmental monitoring (e.g., detecting pesticides in food, heavy metals in water, or soil health).
Iterative Optimization: Improve existing digital multi-parameter water analyzers and colorimetric kits through prototype testing.
Validation & Compliance: Perform stability studies and sensitivity testing according to BIS, ISO, and NABL standards to ensure the kits work accurately in the field.
Technology Scouting: Research new reagents and enzymatic indicators to simplify testing methods for non-experts.
Documentation: Maintain detailed lab notebooks using Design of Experiments (DoE) and prepare technical dossiers for regulatory approval.
Cross-Functional Collaboration: Work with the electronics team to integrate chemical sensors into digital diagnostic hardware.","Wet Chemistry: Mastery of titration, pH monitoring, and colorimetric indicators.

Instrumentation: Hands-on experience with Spectrophotometry and Chromatography.

Formulation: Ability to develop chemical reagents in stable tablet, strip, or liquid forms.

Quality Standards: Knowledge of GMP (Good Manufacturing Practices) and GLP (Good Laboratory Practices)."
Medical Coder,Full-time,"Amravati, Maharashtra",Fresher,,,minimum graduation,biotechnology,,,,https: www.naukri.com job-listings-jobs-for-pharmacist-pharmacy-b-pharm-m-pharm-d-pharm-in-hyderabad-achievers-spot-tirupati-tirumalagiri-amravati-0-to-3-years-120919002430?src=jobsearchDesk&sid=17666585875395025 14&xp=1&px=1&nignbevent src=jobsearchDeskGNB,,,Achievers Spot,https: achieversspot.com ,"Achievers Spot is an ISO-certified organization specializing in Medical Coding training and placement. They act as a bridge between healthcare graduates and major MNCs (like Cognizant, TCS, and Omega Healthcare). They are known for providing intensive training to help life science graduates clear international certification exams like the CPC (Certified Professional Coder).","Medical Coding is the ""translation"" of healthcare. When a doctor treats a patient, they write notes. A Medical Coder takes those notes and converts them into standardized alphanumeric codes. These codes are then used by insurance companies to process claims and by hospitals to maintain records.",,"Code Conversion: Use ICD-10 CM (for Diagnoses) and CPT (for Procedures) code books to transform text-based medical reports into numeric alphanumeric codes.
Chart Review: Analyze patient medical records, including lab results and physician notes, to ensure all services provided are captured accurately.
Compliance: Follow strict healthcare regulations (HIPAA) to protect patient privacy and ensure billing accuracy.
Collaboration: Coordinate with healthcare providers to clarify any missing or ambiguous information in the medical charts.","Education: B.Pharm, M.Pharm, D.Pharm, Nursing, Physiotherapy, or any Life Science degree (Zoology, Botany, Microbiology, etc.).

Core Knowledge: Strong understanding of Human Anatomy and Physiology is essential.

Technical: Basic computer literacy and good communication skills to work in a corporate BPO environment."
Field Officer (Project Implementation),Full-time,"Amravati, Maharashtra",4 - 6 years,,,Any Graduate (Social Work Education backgrounds preferred),ngo and social service,,,,https: www.naukri.com job-listings-field-officer-project-implementation-lend-a-hand-india-amravati-4-to-6-years-190625506125?src=cluster&sid=17666585875395025 22&xp=1&px=1&nignbevent src=jobsearchDeskGNB,,,Lend A Hand India,https: lendahandinindia.org get-involved ,"Lend A Hand India (LAHI) is a high-impact non-profit organization founded in 2006. They specialize in integrating vocational education into the high school curriculum (Grades 9�12). LAHI works closely with state governments to bridge the gap between classroom learning and real-world livelihoods. Their mission is to equip youth with ""Multi-Skill"" training, making education more practical and employment-oriented.","You will be the ""boots on the ground"" for a pioneering Pilot Project aligned with the National Curriculum Framework (NCF). Your mission is to ensure that vocational and skill-based education is successfully integrated into schools in Amravati. This is a hands-on role involving heavy field travel, stakeholder management, and monitoring how trainers use toolkits and digital content in the classroom.",,"Operational Setup: Assist schools in setting up ""Skill Labs"" and ensuring toolkits, machinery, and digital modules are functioning.
Classroom Monitoring: Conduct frequent visits to observe trainers, ensuring that project-based learning is actually happening and that students are engaged in hands-on projects.
Stakeholder Liaison: Act as a bridge between school principals, parents, and local industry representatives. You will organize parent-teacher meetings and guest lectures by local experts.
Data Collection & Documentation: Use smartphones and Google Forms to capture attendance, photographs of sessions, and student testimonials.
Challenge Resolution: Identify implementation gaps (like lack of electricity in a lab or low student attendance) and report them to the central management for quick resolution.","Communication: Must be fluent in Marathi to build rapport with rural school staff and parents.
Digital Literacy: Proficiency in using WhatsApp, Google Forms, and Excel for real-time reporting.
Resilience: Comfortable traveling frequently to semi-urban and rural areas of Amravati and working in basic field conditions.
Background: 4�6 years of experience in youth engagement, skilling, or rural development is preferred."
Cloud Support Engineer,Full-time,"Chandrapur, Maharashtra",Fresher,"? 2,40,000","? 3,60,000",Bachelor's Degree,CLOUD COMPUTING,3,Immediate Joiner,2024-2025,info@microstrategy.com,On-Site,Online,MicroStrategy India,https: www.strategysoftware.com ,"MicroStrategy is a leading global software company specializing in business intelligence and analytics. We provide enterprise-class software that enables customers to analyze their business, support informed decision-making and enhance business performance.",Provide technical support for cloud products. Resolve customer issues on Strategy products. Contribute to customer growth and community support. Provide top-notch service and support to customers using Strategy cloud platform. Troubleshoot technical problems and escalate complex issues. Maintain knowledge of product features and updates.,"Excellent communication skills, Problem-solving abilities, Technical troubleshooting expertise, Customer service mindset, Knowledge of support processes","Respond to customer support tickets, Document issues and resolutions, Provide technical guidance, Escalate complex issues","Python, REST API, Java, SQL, HTML, XML, Windows Linux, API Integration, Troubleshooting, Customer Support"
AWS Cloud Administrator,Full-time,"Chandrapur, Maharashtra",2 Years,"? 4,50,000","? 6,50,000",Bachelor's Degree,CLOUD COMPUTING,4,Upto 1 week,2022-2023,careers@tcs.com,Hybrid,Online + On-site,Tata Consultancy Services,https: www.tcs.com ,"TCS is an IT services, consulting and business solutions organization that delivers real results to global business. TCS supports more than 1000 enterprise customers.",Administer AWS cloud infrastructure and services. Manage user access and IAM policies. Oversee EC2 instances and storage solutions. Implement security controls and compliance. Manage cloud budgets and cost optimization. Monitor and troubleshoot cloud infrastructure. Create disaster recovery and backup strategies.,"IAM policy management, AWS service expertise, Compliance knowledge, Cost optimization skills, Security implementation, Backup and recovery procedures","Manage AWS resources, Configure security groups, Implement IAM policies, Monitor cloud spend, Create runbooks and documentation","AWS, IAM, EC2, S3, RDS, VPC, CloudWatch, AWS Lambda, Cost Optimization, Compliance, Security Best Practices"
Azure Cloud Administrator,Full-time,"Chandrapur, Maharashtra",1-2 Years,"? 4,00,000","? 6,00,000",Bachelor's Degree,CLOUD COMPUTING,3,Upto 2 weeks,2023-2024,careers@microsoft.com,Remote,Online,Microsoft India,https: www.microsoft.com ,"Microsoft empowers every person and every organization on the planet to achieve more. As a cloud-first software company, we enable organizations worldwide to digitally transform using the Microsoft Cloud.",Administer Microsoft Azure cloud platform. Manage virtual machines and storage accounts. Implement Azure security and identity management. Configure and manage Azure networking. Monitor Azure resources and optimize performance. Manage Azure subscriptions and billing. Implement disaster recovery solutions.,"Azure portal expertise, Virtual machine administration, Storage management, Networking configuration, Security implementation, Compliance knowledge","Provision Azure resources, Manage user access, Configure security, Monitor performance, Optimize cloud costs","Microsoft Azure, Azure AD, VMs, App Service, SQL Database, AKS, Azure DevOps, PowerShell, Networking, Security"
DevOps Engineer - AWS,Full-time,"Chandrapur, Maharashtra",1-3 Years,"? 4,50,000","? 7,50,000",Bachelor's Degree,CLOUD COMPUTING,6,Upto 1 week,2021-2024,careers@microsoft.com,Hybrid,Online + On-site,Accenture India,https: www.accenture.com ,"Accenture is a leading global professional services company providing a broad range of services and solutions in strategy, consulting, digital, technology and operations.",Build and maintain CI CD pipelines for AWS deployment. Implement infrastructure automation using Terraform. Manage containerized applications with Docker and Kubernetes. Monitor systems using CloudWatch and automated alerting. Implement security scanning and compliance checks. Optimize deployment processes and reduce release cycles.,"CI CD pipeline expertise, AWS knowledge, Container orchestration skills, Infrastructure automation, Monitoring and logging, Git version control","Build CI CD pipelines, Deploy applications, Monitor systems, Optimize processes, Troubleshoot deployments","Docker, Kubernetes, Jenkins, GitHub Actions, Terraform, AWS, CloudWatch, Python, Bash, GitLab CI, ArgoCD"
Cloud Solutions Architect,Full-time,"Chandrapur, Maharashtra",3-5 Years,"? 8,00,000","? 12,00,000",Master's Degree,CLOUD COMPUTING,2,Immediate Joiner,2019-2022,careers@deloitte.com,Hybrid,On-site,Deloitte Consulting,https: www.deloitte.com ,"Deloitte is a leading global provider of audit, consulting, tax, and advisory services. We help clients solve their most complex business challenges through innovative thinking.",Design scalable cloud solutions for enterprise customers. Assess business requirements and create cloud strategies. Optimize cloud infrastructure for cost and performance. Ensure cloud security and compliance. Lead cloud migration projects. Provide technical guidance to development teams. Create solution documentation and architecture diagrams.,"Cloud architecture design expertise, Business requirement analysis, Cost optimization skills, Security architecture knowledge, Solution design","Design cloud solutions, Create architecture diagrams, Conduct assessments, Present to stakeholders, Lead implementation","AWS, Azure, GCP, Solution Architecture, Business Analysis, Security Architecture, Cost Modeling, Compliance, Enterprise Design"
Cloud Security Engineer,Full-time,"Chandrapur, Maharashtra",2-4 Years,"? 5,50,000","? 8,50,000",Bachelor's Degree,CLOUD COMPUTING,3,Upto 2 weeks,2020-2023,hiring@careers.cisco.com,On-Site,Online + On-site,Cisco Systems India,https: www.cisco.com ,Cisco designs and sells broadly used products that support the Internet and networking. We help organizations connect and innovate in every location and format.,Implement cloud security controls and policies. Conduct security assessments and compliance audits. Manage cloud security tools and monitoring. Respond to security incidents in cloud environment. Create security policies and procedures. Implement encryption and access controls. Perform penetration testing and vulnerability assessments.,"Cloud security controls expertise, Compliance framework knowledge, Penetration testing skills, Encryption implementation, Security tools proficiency","Implement security controls, Conduct audits, Manage security tools, Create policies, Respond to incidents","AWS Security, Azure Security, IAM, Encryption, Compliance (SOC 2, PCI-DSS), Vulnerability Assessment, SIEM, Security Tools, Monitoring"
Cloud Data Engineer,Full-time,"Chandrapur, Maharashtra",1-2 Years,"? 4,50,000","? 6,50,000",Bachelor's Degree,CLOUD COMPUTING,4,Upto 1 week,2023-2024,careers@amazon.com,Remote,Online,Amazon Web Services,https: aws.amazon.com ,"Amazon Web Services is a comprehensive cloud services platform. AWS provides on-demand computing resources, infrastructure, and platform services with flexible, pay-as-you-go pricing.",Build data pipelines and ETL solutions on cloud. Design data warehousing solutions using Redshift or BigQuery. Implement data processing and transformation workflows. Optimize data storage and retrieval. Monitor data pipeline performance. Create data documentation and metadata management. Ensure data quality and governance.,"ETL design expertise, Data warehousing knowledge, SQL proficiency, Data transformation skills, Pipeline optimization","Design data pipelines, Build ETL solutions, Optimize queries, Monitor performance, Create documentation","AWS Redshift, Google BigQuery, PySpark, SQL, Airflow, Data Lakes, ETL Tools, Python, Data Warehousing, Pandas"
Serverless Developer,Full-time,"Chandrapur, Maharashtra",1-2 Years,"? 3,50,000","? 5,50,000",Bachelor's Degree,CLOUD COMPUTING,5,Immediate Joiner,2023-2025,careers@ibm.com,Remote,Online,IBM India Private Limited,https: www.ibm.com ,"IBM is a leading global IT infrastructure, middleware and applications company. We deliver solutions that reduce costs, improve supply chain performance and accelerate innovation.",Develop serverless applications using AWS Lambda and Functions. Design event-driven architectures. Implement serverless microservices. Optimize cold start and performance. Monitor serverless applications. Create infrastructure as code for serverless. Troubleshoot and debug serverless applications.,"Serverless architecture knowledge, Event-driven design expertise, AWS Lambda or Azure Functions, Microservices design","Build serverless functions, Design architectures, Monitor performance, Optimize execution, Troubleshoot issues","AWS Lambda, Azure Functions, Google Cloud Functions, Python Node.js, API Gateway, DynamoDB, Event-driven Architecture"
Cloud AI ML Engineer,Full-time,"Chandrapur, Maharashtra",2-3 Years,"? 6,00,000","? 9,00,000",Master's Degree (Preferred),CLOUD COMPUTING,2,Upto 2 weeks,2021-2023,accessiblecareers@nvidia.com,Hybrid,On-site,NVIDIA India,https: www.nvidia.com ,"NVIDIA creates innovative technologies and applications on top of GPUs. Our work spans gaming, professional visualization, data centers, and automotive.",Build and deploy machine learning models on cloud. Create ML pipelines and workflows. Implement AI solutions for enterprise. Optimize ML model performance. Manage ML infrastructure and resources. Monitor model drift and performance. Create ML documentation and best practices.,"ML model expertise, Cloud ML platforms knowledge, Python R proficiency, Model optimization skills, ML pipeline creation","Build ML models, Create ML pipelines, Deploy solutions, Monitor performance, Optimize models","TensorFlow, PyTorch, AWS SageMaker, Google Vertex AI, Python, ML Ops, Model Deployment, MLflow, Data Science"
Cloud ERP Developer - SAP,Full-time,"Chandrapur, Maharashtra",2-4 Years,"? 6,00,000","? 9,00,000",Bachelor's Degree,CLOUD COMPUTING,3,Upto 2 weeks,2020-2023,americas.hr@sap.com,Hybrid,On-site,SAP India Private Limited,https: www.sap.com ,SAP is a global leader in enterprise resource planning software. SAP's cloud solutions help organizations run their business operations and customer relations in real time.,Develop and customize SAP cloud solutions. Implement ERP modules and functionalities. Configure and integrate cloud systems. Optimize system performance. Manage SAP cloud infrastructure. Create technical specifications and documentation. Support end-users and troubleshoot issues.,"SAP cloud platform expertise, ERP configuration knowledge, System integration skills, Technical documentation","Develop SAP modules, Configure systems, Integrate applications, Optimize performance, Support users","SAP Cloud Platform, ABAP, Fiori, Integration Suite, SAP Analytics, OData, Java, SQL, SAP Hana"
Cloud QA Engineer,Full-time,"Chandrapur, Maharashtra",1-2 Years,"? 3,00,000","? 4,50,000",Bachelor's Degree,CLOUD COMPUTING,4,Upto 1 week,2023-2024,ashok.ar.reddy@oracle.com,Hybrid,Online + On-site,Oracle India,https: www.oracle.com ,Oracle is the world's largest software company. Oracle provides cloud computing infrastructure and software to help organizations run their business.,Test cloud applications and infrastructure. Create automated test cases for cloud services. Perform load and performance testing. Conduct security testing and compliance checks. Report and track defects. Analyze test results and metrics. Collaborate with development teams. Create test documentation.,"Testing expertise, Automation tools knowledge, Performance testing skills, Cloud testing knowledge, QA methodologies","Design test cases, Execute tests, Automate testing, Perform load testing, Report defects","Selenium, JMeter, LoadRunner, TestNG, AWS Azure Testing, Python, API Testing, Performance Testing, QA Tools"
Cloud Network Engineer,Full-time,"Chandrapur, Maharashtra",2-3 Years,"? 5,00,000","? 7,50,000",Bachelor's Degree,CLOUD COMPUTING,2,Upto 2 weeks,2021-2023,mayat@juniper.net,On-Site,On-site,Juniper Networks India,https: support.juniper.net ,Juniper Networks develops network products and services. We design and sell network infrastructure and cloud computing solutions.,Design and implement cloud networking solutions. Configure VPCs and subnets. Implement network security and firewalls. Manage load balancing and traffic management. Optimize network performance. Troubleshoot network issues. Create network documentation and diagrams.,"Network design expertise, VPC configuration knowledge, Security implementation, Load balancing skills, Troubleshooting","Design networks, Configure VPCs, Implement security, Manage load balancing, Troubleshoot issues","AWS VPC, Azure Networking, GCP Cloud Network, Firewalls, Load Balancers, Routing, BGP, DNS, Traffic Management"
Cloud Database Administrator,Full-time,"Chandrapur, Maharashtra",2-4 Years,"? 5,50,000","? 8,00,000",Bachelor's Degree,CLOUD COMPUTING,3,Upto 2 weeks,2020-2023,info@mongodb.com,Hybrid,Online + On-site,MongoDB India,https: www.mongodb.com ,"MongoDB is a leading modern database platform. MongoDB makes it easy for organizations to build, deploy and operate applications.","Administer cloud databases (RDS, Cloud SQL, MongoDB Atlas). Perform database maintenance and optimization. Manage backups and disaster recovery. Implement database security and access controls. Monitor database performance. Troubleshoot database issues. Create database documentation.","Database administration expertise, Cloud database platform knowledge, Backup and recovery procedures, Performance tuning","Manage databases, Perform backups, Optimize performance, Troubleshoot issues, Create documentation","AWS RDS, Azure SQL Database, Google Cloud SQL, MongoDB Atlas, MySQL, PostgreSQL, Backup, Replication, Performance Tuning"
Cloud Compliance Engineer,Full-time,"Chandrapur, Maharashtra",2-3 Years,"? 5,00,000","? 7,50,000",Bachelor's Degree,CLOUD COMPUTING,2,Immediate Joiner,2021-2023,careers@accenture.com,Remote,Online,Accenture India,https: www.accenture.com ,"Accenture is a leading global professional services company providing consulting, technology and outsourcing services.",Ensure cloud compliance with regulations and standards. Create compliance policies and procedures. Conduct compliance audits and assessments. Monitor compliance controls and incidents. Manage compliance documentation. Implement compliance automation. Report on compliance status and metrics.,"Compliance framework knowledge, Cloud security expertise, Audit experience, Policy creation, Risk assessment","Create compliance policies, Conduct audits, Monitor controls, Document procedures, Report status","Compliance Frameworks (HIPAA, GDPR, SOC2, PCI-DSS), Cloud Audit, Risk Assessment, Policy Documentation, Compliance Tools"
SOC Analyst L1,Full-time,"Chandrapur, Maharashtra",Fresher,25000,35000,Bachelor Degree,CYBERSECURITY,5,Immediate Joiner,2024-2025,support@codelancer.in,On-Site,On-Site,CODELANCER Cyber Security,https: codelancer.in ,"Nagpur-based cybersecurity company providing cutting-edge security solutions to 150+ enterprises globally. Founded in 2016, specializing in cyber forensics, penetration testing and advanced threat detection.","Monitor and analyze security alerts using SIEM platforms, investigate suspicious activities and potential threats, escalate critical incidents to senior analysts immediately, maintain detailed incident logs and documentation, perform basic threat analysis and categorization, assist in incident response procedures, collaborate with security team members to resolve alerts.",SIEM tools knowledge required,Monitor security alerts and events,"Log analysis, SIEM, Splunk, QRadar, Incident detection, Alert monitoring, Event analysis"
Cybersecurity Analyst,Full-time,"Chandrapur, Maharashtra",1-2 Years,40000,60000,Bachelor Degree,CYBERSECURITY,3,Upto 1 Week,2023-2024,support@codelancer.in,Hybrid,Online,CODELANCER Cyber Security,https: codelancer.in ,"Leading cybersecurity and digital forensics provider in India offering comprehensive security solutions, threat intelligence services and enterprise protection to diverse industries.","Conduct comprehensive security assessments on applications and infrastructure, analyze security logs and events for patterns and anomalies, perform vulnerability assessments and penetration testing, implement security policies and procedures, monitor network traffic patterns for suspicious activity, prepare detailed security incident reports, provide recommendations for security improvements and risk mitigation.",Security policy implementation,Analyze suspicious activities carefully,"OWASP, Vulnerability Assessment, Risk Analysis, Security Monitoring, Log Analysis, Incident Response, Threat Analysis"
SOC Analyst L2,Full-time,"Chandrapur, Maharashtra",2-3 Years,55000,80000,Bachelor Degree,CYBERSECURITY,4,Upto 2 Weeks,2022-2023,support@codelancer.in,On-Site,On-Site,CODELANCER Cyber Security,https: codelancer.in ,"Expert cybersecurity team providing advanced threat detection, incident response, digital forensics and security consulting across multiple sectors and enterprises.","Lead security operations center daily activities and shift operations, manage and investigate complex security incidents thoroughly, tune SIEM use cases for better detection, mentor and coach L1 analysts, coordinate with threat intelligence teams on investigations, develop incident response procedures and playbooks, generate executive security reports and metrics.",Advanced SIEM configuration required,Lead incident investigation activities,"Splunk, QRadar, Python, SIEM Tuning, Threat Hunting, Incident Management, Forensics"
Security Administrator,Full-time,"Chandrapur, Maharashtra",1 Year,35000,50000,Bachelor Degree,CYBERSECURITY,2,Immediate Joiner,2024,shankar@infosecuresolutions.co.in,On-Site,On-Site,InfoSecure Solutions,https: www.infosecuresolutions.co.in ,"Chandrapur-based IT security infrastructure provider offering firewall management, access control, system security solutions and vulnerability management to regional enterprises.","Manage user access rights and permissions across systems, maintain security infrastructure and hardware, implement firewall policies and rules, perform system hardening and configuration, maintain security patches and updates, configure and manage VPN access, manage privileged account access and monitoring.",Windows and Linux administration,Manage user access controls,"Active Directory, Group Policy, Firewall Configuration, Windows Server, Linux, VPN, System Hardening"
Slot Game Producer,Full-time,"Amravati, Maharashtra",0 - 3 Years,,,B.E. B.Tech background,game development,,,,https: www.naukri.com job-listings-slot-game-producer-code-orion-amravati-0-to-3-years-241125924891?src=cluster&sid=17667222252655500 2&xp=1&px=1&nignbevent src=jobsearchDeskGNB,On-Site,On-Site,Code Orion,https: www.linkedin.com company codeorion ,"Code Orion is a technology firm involved in game development and IT services. While the job is listed under ""Head - QA,"" the responsibilities clearly define a Project Management and Production role within the iGaming (Slot Games) sector. This suggests the company is building a specialized team in Amravati to cater to the global digital casino and gaming market.","As a Slot Game Producer, you act as the Project Manager for the entire game creation process. You are the ""conductor of the orchestra,"" ensuring that artists, developers, and sound designers work in sync. Your goal is to take a game from a mathematical concept theme to a polished product that is bug-free and compliant with international gambling regulations.","Technical Foundation: B.Tech B.E. degree is mandatory. Understanding of Unity3D and C# is a major advantage even if you aren't coding.
Project Management: Skills in production scheduling, risk management, and project budgeting.
Analytical Mindset: Ability to understand game mathematics (volatility, RTP - Return to Player) and market trends.
Soft Skills: Strong problem-solving and the ability to resolve ""bottlenecks"" between creative and technical teams.","Lifecycle Management: Oversee the ""A to Z"" of slot game creation�from the initial theme selection and math model to final deployment.
Team Coordination: Act as the central hub for communication between Unity C# developers, 2D 3D artists, sound engineers, and Quality Assurance (QA).
Schedules & Milestones: Develop production timelines (Gantt charts) and ensure the team meets deadlines for ""sprints.""
Compliance & Quality: Ensure the ""RNG"" (Random Number Generator) and game mechanics meet the regulatory standards of the markets the game will be released in.
Budgeting: Monitor resources and costs to ensure the project remains profitable.
Data Analysis: Post-launch, look at player ""retention"" and ""spend"" data to decide what features to add in the next update.","Production Scheduling, Slot Game Development, Unity3D, Project Execution, Quality Management, Game Math, Milestone Tracking."
2D Spine Animator (Slot Games),Full-time,"Amravati, Maharashtra",2 - 4 Years,,,any graduate,game development,,,,https: www.naukri.com job-listings-2d-spine-animator-for-slot-games-code-orion-amravati-2-to-4-years-241125924876?src=cluster&sid=17667222252655500 2&xp=3&px=1&nignbevent src=jobsearchDeskGNB,On-Site,On-Site,Code Orion,https: www.linkedin.com company codeorion ,"Code Orion is a growing technology and game development firm. They are currently expanding their specialized iGaming division in Amravati, focusing on the production of digital slot games for the global market. The company emphasizes a collaborative environment where artists, designers, and developers work together to create high-engagement gaming experiences.","As a 2D Spine Animator, your primary tool is Esoteric Software�s Spine. Unlike traditional frame-by-frame animation, you will use ""Skeletal Animation"" to give life to characters, symbols, and UI elements. In the world of slot games, animations need to be ""juicy""�meaning they must feel rewarding, smooth, and visually exciting to keep the player engaged during wins and bonus rounds.","Primary Tool: Expert-level knowledge of Spine 2D.
Design Tools: Proficiency in Adobe Photoshop and Illustrator for asset preparation.
Motion Graphics: Familiarity with After Effects for creating particle effects or promotional trailers.
Technical Knowledge: Understanding of ""Draw Calls"" and texture packing to optimize game performance.
Artistic Sense: Strong grasp of the 12 principles of animation, especially squash and stretch, timing, and appeal.","Skeletal Animation: Rig and animate 2D characters and game assets (symbols, backgrounds, and pop-ups) using Spine.
Engagement Design: Create ""Win Animations"" and ""Anticipation Loops"" that heighten the excitement of the gambling experience.
Asset Preparation: Work with layered PSD or AI files from artists to ensure they are correctly sliced and prepared for rigging.
Performance Optimization: Use meshes and weights efficiently to ensure animations run smoothly on mobile devices and web browsers without consuming too much memory.
Integration: Collaborate with Unity or HTML5 developers to ensure the exported JSON atlas files function correctly within the game engine.
UI Animation: Animate buttons, meters, and transitions to create a seamless user experience.","Character Rigging, Mesh Deformation, IK (Inverse Kinematics), Game Design, Motion Graphics, Sprite Sheets, JSON Export."
Technical Support Executive,Full-time,"Amravati, Maharashtra",0 - 2 Years,,,any graduate,IT helpdesk,,,,https: www.naukri.com job-listings-technical-support-executive-bluechip-jobs-rewari-bhiwani-amravati-0-to-2-years-161225009615?src=cluster&sid=17667222252655500 22&xp=1&px=1&nignbevent src=jobsearchDeskGNB,On-Site,On-Site,Reputed Client of Bluechip Jobs Pvt Ltd,https: in.linkedin.com company bluechip-jobs-private-limited,"This is a short-term, project-based role primarily focused on Exams & Document Digitization. You will be responsible for handling technical equipment used during student examinations, specifically FR (Facial Recognition) Scanning. The role involves high-volume data entry and ensuring that student records are accurately captured and uploaded.","This is a short-term, project-based role primarily focused on Exams & Document Digitization. You will be responsible for handling technical equipment used during student examinations, specifically FR (Facial Recognition) Scanning. The role involves high-volume data entry and ensuring that student records are accurately captured and uploaded.","Technical Skills: Strong command of MS Excel and basic computer troubleshooting.
Experience: 6 months to 2 years in data entry or back-office operations is preferred.
Communication: Clear and effective communication skills to guide students through the scanning process.
Availability: Must be able to commit to the full 60-day contract period.","FR Scanning: Operate Facial Recognition hardware and software to verify the identity of students during exams.
Data Management: Maintain and update candidate information in Excel sheets with high accuracy.
Exam Support: Assist in the technical setup required for computer-based or digital attendance tracking during exams.
Back Office Operations: Standard data entry tasks and documentation related to the examination process.","Excel, Data Entry, Typing, Facial Recognition Scanning, Back Office Operations, Technical Support."
